id,title,summary,publication_date,district,crime_type,source,url
34,Arrastrado hasta morir por una ‘encerrona’: El crimen que estremece a todo Chile - La Estrella de Panamá,Arrastrado hasta morir por una ‘encerrona’: El crimen que estremece a todo Chile La Estrella de Panamá,2026-06-24,Sin identificar,Encerrona,La Estrella de Panamá,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQQ3A3Vk9ycU1pTExPT2Q3dy12SWNGVlpTVnBGVU5LQzZNSnh4TVd6LTM3VGhUNzJodlc1cG9lOTQzSDFHT084VFNERjR4ZXpMdUoyb3k0Yl9rMEZRUlJWMmFReVpVU0ZnZVVKQWVkRHc4UEsxMTVIaFR3RWFCSC01dmFZcHhmU0xTejNvUkNfb2pJOW8xbUUxbDBNd0dYN2FQY0IyRFk3X1lTODNIcFE4LVRtYnZDM1A5TEFpenRSRGNJZ9IBxwFBVV95cUxNSWtvbVNackJzMTJqclE3ZVRrS0RVTUZoN2w5bmQ1eWh1NjNSYnlWS0FERkMxdU1BQms5NVU4ZFhaOXhyTW9ycFFBRWd6d0NSRUdXaGh0bmFVNDJZS242Yzc2UE1zallBYi1qSXNaSk5ocmJUUTJYZU1zZjNMVWlaVFhhY2hvUFhkeW5hVFR2UnFnQWhIYmZlSDdaZzdyVThlODZUQl9IcU9tR1VRZ2ZuTXJqX2VEdUl4MlBLc1lENHc0S0hRZUxj?oc=5
35,Ya son seis los detenidos por el crimen del pequeño Alejandro en Chile: revelan la causa de muerte - Los Andes,Ya son seis los detenidos por el crimen del pequeño Alejandro en Chile: revelan la causa de muerte Los Andes,2026-06-25,Sin identificar,Encerrona,Los Andes,https://news.google.com/rss/articles/CBMiygFBVV95cUxOLTJ2elVVX0xlRW9VWDhpNVlNZWktcGlGLUZMMWpyMGxBT2czOFNVcGZ5Y0tRdWlycEI5RDBuWFBUTjMtdVJDT2R3MVJ3d0F2ejdvTzBzalRXcldFZUgxaEEybDh1TkdUTmxnRENnZmhuNFRSU3BKLTlTaGFlRnhrYngwd2VhdmRoMlVUbkpOdHMyR1FId2NUQmNLVzNGeGIzSWpsMnY5MHlpX1pXZ094V0w1c0YwUXRYWHpNLWVrNENyLVkyWFgtTmVB?oc=5
36,Cuatro detenidos por el niño asesinado en Chile: del emotivo viaje a Mendoza a un final desolador - Los Andes,Cuatro detenidos por el niño asesinado en Chile: del emotivo viaje a Mendoza a un final desolador Los Andes,2026-06-24,Sin identificar,Encerrona,Los Andes,https://news.google.com/rss/articles/CBMixwFBVV95cUxQb0xERzV2ZmRESkhsUnQ4VnNfcTFpdnlQaFUwSU9JY18yeC1jcHZPeUxSZUhWaW1aSTdCRXZ2NFBmQ25UYXUwS0UzWjhENUJvWTg4OTA2M20tNWEyQV9jaXdJTTlQbmlGTjdGcGhuZXgtc1V4THp3bHpKdEJLMFc0Q2pnZnZPdWRZc0cwdXJ6ZHh6T3lBRGhVTnhjRjBYelFqQzgxTVpnaE52ZUNZUEhybktNU21xOE95eW4yODJYYTJjN0QtVWhz?oc=5
37,Asesinaron al hijo de 12 años de un argentino tras arrastrarlo varios kilómetros en Chile - Lv16.com.ar,Asesinaron al hijo de 12 años de un argentino tras arrastrarlo varios kilómetros en Chile Lv16.com.ar,2026-06-24,Sin identificar,Encerrona,Lv16.com.ar,https://news.google.com/rss/articles/CBMixwFBVV95cUxNX1V0YzRLN04xWGJHb2FGdnNJRTZMUXIyQk9ON055RTgzWFRWUEpadnhpUVZIa0gwX2hYVTk0aWlNV2dnNmNLa2k3VUFKTmhXa21VbUQyODNGZHlxWGo3R1BGMEVBSEJxNnBIeHUzOE0wM3JZUnFxRmRmaEFCVXQ4X0ZIUlJGQmJrd09yVnRWb21TY2pnc2NQYV8xeElmNFRJaEtVLW9XN0o5MWZGSjNVZHRLX0s0VlRVOWVWeXYwdnVFMjRycV9n?oc=5
38,Carabineros logra rápida detención de adolescentes involucrados en homicidio de niño durante una encerrona - Gobierno de Chile,Carabineros logra rápida detención de adolescentes involucrados en homicidio de niño durante una encerrona Gobierno de Chile,2026-06-24,Sin identificar,Encerrona,Gobierno de Chile,https://news.google.com/rss/articles/CBMivwFBVV95cUxOeF9VSkh0b0hZRHE2NHdHVHJNLVMxalNJUXFQd2o1RUNfWWd0dmdNR3dXdG93azA3ZC01UWNXOFpuWkxpZzBXbXkwNE9TYTE1SVJsSkVldkJ6UVMyak8yTUVQYlR4X2Nzel83NDZpeFZTcWdXMzRjek1pWUJZb3N3QUxKUnlKLWtTM3N0RTN1bEdoQ1J5Mm1NODl1ZGNoclZ6OEY4ZVRFZll1NGJSTFZIOTF5Mm1RamFFODRQSnppcw?oc=5
39,Carabineros informa un sexto detenido por la brutal encerrona de San Bernardo - Universidad de Chile,Carabineros informa un sexto detenido por la brutal encerrona de San Bernardo Universidad de Chile,2026-06-25,San Bernardo,Encerrona,Universidad de Chile,https://news.google.com/rss/articles/CBMiswFBVV95cUxNNEtJdEpVRVNiQXhJU2REcWxWcGpocU5QeVBHMmxwalA3UzlJWUJkcWFQLU82UXNYM0hYZEtickJ5WVl5dXBGblFGTS10X2dDQU1NUlF4MEdWU1hWQzlyRVNJVmdka294UFFiQWFsMTBNd19jYmc5SDM5cGg1TUZKdUNWOWpOaHFLdXdhTlh2VWZjM1l2b2NpNVNfUmYxTjZiYzA0Q1VXeGpoQWNqQ1Izd1VDNA?oc=5
40,Cae cuarto involucrado en asesinato de niño de 12 años en encerrona: lo entregó su padrastro - BioBioChile,Cae cuarto involucrado en asesinato de niño de 12 años en encerrona: lo entregó su padrastro BioBioChile,2026-06-24,Sin identificar,Encerrona,BioBioChile,https://news.google.com/rss/articles/CBMihAJBVV95cUxOMG5WeGxRSUo5bW1QbkxPRUZHY0pKaVdNWjVzclNpWHl3VXRPOElEb3J1bjI3eE9SZ2loZXowa0RNUmFfTzBrb2xJMVdJVEFxSWY3SWhqYWd2THJKdXI5ZFdpZFZuU1JPUDJvbHgwSVpTTXE0aHRQZVhBaUZhVmwzODZoQldpN01ueTVORnE2dkVwLWFpZVBRRVF3Z3M5UXgwZTZHV25lQ204RmJMVGxXc2J0Qm14MHBWVldPZTZHUEl5SUI0OEZTV2RXMUFNOS01bUhEOXotUTUtTHNZdnpwa0YxT2Rqb01jYmh1ellfanpBM3lBQl9kSXpRa2x3UnBTaGxfUw?oc=5
41,Detenidos los seis involucrados en encerrona con niño asesinado en San Bernardo - cronicadigital.cl,Detenidos los seis involucrados en encerrona con niño asesinado en San Bernardo cronicadigital.cl,2026-06-25,San Bernardo,Encerrona,cronicadigital.cl,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNY3liMGxUSGk0VVRsZzV1dXI1SG1oZnlHNVlSMS1BT2JzOEplZ3dLMTJSbUU0V2hReXJzUFBMbHk4M3M3amdfbVFoMDRFUHRhUzROVUM1ZGwyRTVvaVpBWkZtYjRySW14MWFwakdIM3ZKQWxhakxrc2hUUmpPaVdPVjNGbXRycUppSnRFaVVZcjBIWnFTcnZqRDhMV0lYMzY0WkxPTXhKTDBXZw?oc=5
42,Carabineros confirma sexto detenido por encerrona que le costó la vida a un niño de 12 años en San Bernardo - La Nación,Carabineros confirma sexto detenido por encerrona que le costó la vida a un niño de 12 años en San Bernardo La Nación,2026-06-25,San Bernardo,Encerrona,La Nación,https://news.google.com/rss/articles/CBMizAFBVV95cUxQMkN3ZEViQS15UWFfeFo2ZjNRZmJKNHdNTUl4ZHhnNXBOdFRDbDQ2R2xab2puN2RsMVRSWHV5Mng1U2t3Q29mcDNwWklLTzJRSXVhLWVKdTZWRGxnNmVtSWtQMk5sMmpKVVMtcUkxRVNWaXJHa091NFBZSF9WU0dTN2JaclJxSmROLVlSMGZ5SmZ1c2EtRTRWTlZFcE5iUHpVYkVnTlBzbG55dVhEYTFxMHBsWldra3lIVnh3VHVRZ1FNRXdCQm50ZUV5WXA?oc=5
43,Dos menores de edad son detenidos tras intentar una encerrona a carabineros de franco en Camino a Melipilla con Santa Marta - Diario La Batalla de Maipú,Dos menores de edad son detenidos tras intentar una encerrona a carabineros de franco en Camino a Melipilla con Santa Marta Diario La Batalla de Maipú,2026-06-24,Maipú,Encerrona,Diario La Batalla de Maipú,https://news.google.com/rss/articles/CBMi4wFBVV95cUxQS2tYMTR6bThZZVhaMnR4NlJQR1ROYzBPRTNOcmFNX1ZReUJPaXdvNlFiXzlleU4ta2xoM3pBRW1tR09PX1Nramt3U29MY295QmE4SXVkelhlRWJBN1h4cUhFV2tmMGdTbkYxZVgxSTlqdzdrSjg3SnlENDJxRVFPanVieWpZLU9CYWxtcFpGbXVrcWtzVTl4MXgtUzdvRWJKWWszeThMd2U0czJpZ19JQWt6SFRicXRCTHBXMHlxMWZ2VlB1aVdzbVg5bkFKQXh4cWlaN1dlVWI5Q2VZWndZVFJRaw?oc=5
44,Uno tenía tarjetas de víctima de asalto previo y el otro está confeso: Quiénes son los nuevos detenidos por fatal encerrona en San Bernardo - Teletrece,Uno tenía tarjetas de víctima de asalto previo y el otro está confeso: Quiénes son los nuevos detenidos por fatal encerrona en San Bernardo Teletrece,2026-06-25,San Bernardo,Encerrona,Teletrece,https://news.google.com/rss/articles/CBMixgFBVV95cUxQVzB0bE5rWjN3OVp1ODVDUXk1Qk5ibG5yY3o5UEZ6MndaOTRnaks3N1o2QmZtRG9FX0dSMmFMdFZjajNHNTZ3aktibXpxaW5tSldaTlBBZENiWk5KQlhOMFFRSUd5Ync0dDJZWGJkT05xb01OS0JMMW1kUXdWNWdTS3ZWS0hFMEVORE9XZmFISm1EWTJNUFFycWdzUlpNQktUNnVURl92SUFlX0U1b2lzMnJhLW5ycUFRUE53dXo4ZzY2SWFTTkHSAcYBQVVfeXFMUFcwdGxOa1ozdzladTg1Q1F5NUJOYmxucmN6OVBGejJ3Wjk0Z2pLNzdaNkJmbURvRV9HUjJhTHRWY2ozRzU2d2pLYm16cWlubUpXWk5QQWRDYlpOSkJYTjBRUUlHeWJ3NHQyWVhiZE9OcW9NTktCTDFtZFF3VjVnU0t2VktIRTBFTkRPV2ZhSEptRFkyTVBRcnFnc1JaTUJLVDZ1VEZfdklBZV9FNW9pczJyYS1ucnFBUVBOd3V6OGc2NklhU05B?oc=5
45,Se completa detención de un sexto involucrado en muerte de niño de 12 años durante una encerrona - Gobierno de Chile,Se completa detención de un sexto involucrado en muerte de niño de 12 años durante una encerrona Gobierno de Chile,2026-06-25,Sin identificar,Encerrona,Gobierno de Chile,https://news.google.com/rss/articles/CBMiowFBVV95cUxPTVJaX3BTaXBGd0M1azVZWks2V3pDV0lGUHdJSXFER2VLNHJRWmlIbjM2T1RmUEhSX0poTXpyZXlzRnR1WWp6ZFJPd2MzUFV1eFMyeXNvZ2dFQkgtSmlYc2xDUWZUbkZtdVFtUFBHTEFPaWtKSGJfUWltT0tLR0hnMXdXaUdpZUNkVldtRVZmTmFJbFV3MFZWVnRkc0ZQSWVTajFV?oc=5
46,Buscan al último integrante de la banda: ya son seis los detenidos por la fatal en encerrona en San Bernardo - ADN Radio,Buscan al último integrante de la banda: ya son seis los detenidos por la fatal en encerrona en San Bernardo ADN Radio,2026-06-25,San Bernardo,Encerrona,ADN Radio,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOVXowZHRzbDFSd1JFLUJibEJWdlZWS2ROY1FKOEI3cTBGSmdKVmtUUW10OV9KbFFtVlZkby1fQndBbnJURG5yYXpZZzNyQjN6a2IzWHBYZWhEeldOQmFyN25tYmtRblJEX0R5Y29HdXdFM2VIR0FlT3pYbi12VGVfSURpVmY2Y1VTa1BvRnJQOUs4VEdaMUt1TmFLM2l4Zk9ucFNHaVRCNTFrNERzY0lDaURfeGlFX1ZXNHRxRlVNZXVVLWo1c0VzZUFhWWFUX3pTeFBpVlF5Xy1NdmfSAe8BQVVfeXFMUDA0cUFTNkdkWWdHTlVFQlVpeDBIVFE0V0NNZ2ZWempoM05MekN3bW05SENLdlpCUDN6bGduY1dyRExMTlJ6alVtSXpNaFJXUVdjbG4taENnVGNRd1NzeVhjUFlYSmtDN3gzclI2Qmx5bmpQTzNLd3p5djNSWm9GYkh0aDc3YVVOc1hQZGJldnpVcmtkWGRuT3FsZzg4alB1Nmt5d3psYTV0WlByRmg0emRrR3lSNGhvSGd1a1pQXzV1V2xLaXRIcFREbl9JV1dHcERDVU9fX1c1VUFnTmFGX3JxS0JLZmdEQThYMEVmLU0?oc=5
47,Adolescentes fueron detenidos en Maipú al intentar hacer “encerrona” a Carabineros - Página 7,Adolescentes fueron detenidos en Maipú al intentar hacer “encerrona” a Carabineros Página 7,2026-06-24,Maipú,Encerrona,Página 7,https://news.google.com/rss/articles/CBMitgFBVV95cUxNU3hOcGUtb1JtY25BMW5lTVFkdW54YWx5RFBobmpBYlpkLXVFVVlRMVNFWENRbmE4bnEtMEY2aFFFMnVIbVJqeHZTZS11cWVubktpMHNpbU9ILXBqNTdxcmdLYnVMM09JTGd2dzJPc0NiQUtwenJ1REk5am5GbkQ1TGJ5U25XaDc3WEV2NFlCTTZjbDVYd3ZoZWJOVzJaX3lqY3dnUmQ3NGNjdEVKTjFnX2VISmZqUdIBuwFBVV95cUxQek84NHN6SUZSWko2eG9XZEhHTGw3clFuM04taFRGeDBnYUp2VVpWRDE5ZzRIbnpiLW9BNVozTGpDcTA1VmVvLXFFZ0ktYnBpUHFGOXl5VFhFdzhNRGFpS0dXdTRSYUpIa2d0TzFpRzlYLURIUHhwc2wybnNFM0o5UWdtMmJNN0JuZ01XV2hPN2xweW5iVEZKWDZVdm5qZk1RNVlkY09JZFlsZWhfMmh6MlVhc05aRUpLenM0?oc=5
48,Encerrona frustrada en Maipú: dos menores detenidos - La Voz de Maipú,Encerrona frustrada en Maipú: dos menores detenidos La Voz de Maipú,2026-06-24,Maipú,Encerrona,La Voz de Maipú,https://news.google.com/rss/articles/CBMikAFBVV95cUxPTDRBekxxYzE2WFFkalRDNjBpOFNwTGR4VHh4aUhNZFo3TGJpY3hvbkVoQU1FRVhnTE1VOFd2SjNzVHVXQS1qYzFwcFNpN1hXRGphMGh6cm1hTkk4X0VRVjloMHlnNE56QkdmNkVpTGRqRTdQZ09PVGhFdDU4c295aHNOZmd5VENoYTZuRzhNbVI?oc=5
49,Detienen a dos menores tras encerrona frustrada a carabineros de franco en Maipú: acumulaban más de 20 detenciones - La Tercera,Detienen a dos menores tras encerrona frustrada a carabineros de franco en Maipú: acumulaban más de 20 detenciones La Tercera,2026-06-24,Maipú,Encerrona,La Tercera,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOVndaMTd5aWF2eGExaVdCZmZqUmtnWm5xME81N281S1ZIOHFiNVNENFkzRWhVSVNmXzFMTnl5T3E1NDRjZnE4WDN0ek1PRjFCRG81ZmdDRHZJbnRaSE5pbzR3aXVsUlN3SWNPT0h0aUJkTEo0dWlLYTdKVko1dFBNNmc4NElsb3U0R193X0YxSEU5XzRqVFBFY2xLU0JuLVo3Y1l5Ri1lVUg3SF80S3F0LUsxQXUtNDVGeWJxS1duQ3NvcjhYWFhEdWI1Y2hEZUFtY2JUemhhN3BfVEM0RW01N2pQX1FnOXZUOS1meHh30gGPAkFVX3lxTE5ld1pXOHNRSlRETmZpM0x0RTVtOVlQQTFaZGxQaTBzRWRVOVBvOVlXN0g4cDdfSnZTMkk3TTQxZnZ4cWkzeDRYNjBqYS1GNHhaVTZzbEh5ZmhXMHpkcnNPM1NqUDZCRVB6TnBZODFJYXhNVWJDN3NHcmFGZkFhNjhiZnltZUV4eXcwOWRfMFVpZ05fT2ZRb2g2ekhZcDBDV29hNXFZVUZsQ3RRRzJLYmV6Qy1vdktlZmpmSzNsM2kyYTFnVjB2X21LWUJrV0M3YzBYM25HT2I2Y0Z6YUF2enJ3U2xIaVp0cEFSVGs1NzM1QmI4TndIN0I0aWQzOEdWNUhDb1czU1JhV055VXpTVFk?oc=5
50,Se confirma un sexto detenido por encerrona que terminó con el fallecimiento de niño de 12 años en San Bernardo - Meganoticias,Se confirma un sexto detenido por encerrona que terminó con el fallecimiento de niño de 12 años en San Bernardo Meganoticias,2026-06-25,San Bernardo,Encerrona,Meganoticias,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNWjVOVjExTDZ1T0Exems1c29xZmd1eWJLV3hTTDlwSklFN1FoRFd5U1lLVWg0amMxOUtDdjFhTktDOXZjSmxsLW1RZG1TVVI0dUp4SFBKNW10VlIyckdXUGttejM3YmYweUhOSVJwc3hnNGE3VTh6UTY2QUtINEd2a2JERnpMZWFHM0M3eVhSV2lFZE5MY08zN2RnZVNRRkxzX1ZfRFRoZ0F2UVpLVWkybE1rRUpKckZDUVlrekt2S3pBQklrOWZvQXhEN2dzcUVuRkYwRtIB2gFBVV95cUxPc2hNMWhxY3A1cVFqV3lLanR0WTROM09nOEhhQUJUYU9GeXh1a2s4QUFfU0tpUjBlNkx6aklNUHRJbl9jTGVkZ1FsLUY5dzdpRjUtSjF0SVNBWFpRUFY5OHl0OUt3ZXMtbGxDN2RlMlpJT0xsVzB1blp5U19FenlSNjJ4QTA3b0E3eHNrS3plakRCbXZIck9ONnBkZUZwaHRIQ0h1ZnhaQ2huejZkRzVxajM2cWN1ZGNlNmJ6VjFZb0hjcV9VaW1HbGVNNDJ4TGpnWndJMUQ0Z2pPQQ?oc=5
51,Tiene 17 años y lo entregó su padrastro: Carabineros publica imágenes del cuarto detenido por fatal encerrona en San Bernardo - ADN Radio,Tiene 17 años y lo entregó su padrastro: Carabineros publica imágenes del cuarto detenido por fatal encerrona en San Bernardo ADN Radio,2026-06-24,San Bernardo,Encerrona,ADN Radio,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQWm0yNEI3MGdEQS1WUXBrb2c3TG1BSTc2SjdRVHFhRWZlMjBDOEFKTDhpc05SNGFQOXBLR1hRV1FqVkFBZ21hZDd0cXZRTUlnOFNKYkdaLUlwZlJSczRDV0ZiTmRVWWJnTW9sX1E4R3Y3Rnc0cC05QWtPNXB2TFNpMGtXUEpHTnJocTJzV3I3VTEtcWVlOUVoMjM3Ml9sUzJ6dXhnM05WRGFSUFZVM2hoc2hLMzlJckVSSUkzYmpwSC11UjdRbWwyVFkxcjY2b1cwRkxEb3BVVGRoQnpya2R5SnkyV1dXN2VKem5VbHFldFFMZ9IBhgJBVV95cUxNNHJjYkhNNWpUWW8tWEdTT1FDSlA3OWducHpsLS1rODh0c1RWbDE4QXBJcjhwYk0wY1YzT3BUdFZRNHhWcTctOGxrSHZiVXNRSTJ2eFl4RmJxVU9WQ2xsYTAydlVTR21PSUdLX3pBSWFxcl9YMTh6QVZCZnFzUW92ZVdoUVB1ZzRBZnhQdHpYVndkT1VDWnlOVG56U1N1QWdvTmhXUWEybnRwSWJ3QnFLWWRQYU9HU1I4c2ZWN2YyUTBrY2RoakgxOEdYVWlSSEh0bkVIbnhNUVFkY1ByVEVzd3ktX0FpS1pLVVRnRUlCaHBnZnNWdjNNNXZSUkk2QjlXMGpkVmlB?oc=5
52,[VIDEO] Aumentan a tres los detenidos en el homicidio de niño de 12 años tras encerrona en San Bernardo - Chicureo Hoy,[VIDEO] Aumentan a tres los detenidos en el homicidio de niño de 12 años tras encerrona en San Bernardo Chicureo Hoy,2026-06-24,San Bernardo,Encerrona,Chicureo Hoy,https://news.google.com/rss/articles/CBMizwFBVV95cUxNYmFOcXpkQ0ZIalZRZE1lVGpySHBITDJNMHZvZWJPN1llSVY5Q0xrNWZmY0tuVk9VOFphZ09GSjJhN2NOX0RuS3Z1TlVuVWtNUVhWZE5CblVaUDN5eHZLdm5oRDY0aXhsZWJTdDYxNnpkLUd5MERYUm4yVlZWVjRMbFBTNTdnUnlhR3Q3eUMzVHo0Q2xQaEVuVVNxZWpBQjQ2YnBOeDBpa040eGs5VnR0dVRvN3NRME01R3hmdGplakxUNzJMZld4bnhJTXNtMnc?oc=5
53,Muerte de niño tras encerrona en San Bernardo: decretan prisión preventiva para los dos últimos detenidos - La Nación,Muerte de niño tras encerrona en San Bernardo: decretan prisión preventiva para los dos últimos detenidos La Nación,2026-06-25,San Bernardo,Encerrona,La Nación,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPOU11bnh2Uy1JaUpwNXhYbHBWYk44d2NmbVBGMlNyeXB0ck12SkpvYkIxSFVkdFlvSjhuZzE0VS1ndzh5RjUyc3hkNUFmZEhYWmdEcHAxMktxNE13SW1ENWhYcUtxTmtwMEpTbzN2RVVYUE1DV0ZOdXhjX1lqUE1COEQxTnpmNmIxN3ZIdDc2dUdaYm5HaHdyOGpJY0VHQm5odEhNdDlFWS12aEFyeURNMnRabVFULXRMTm9KQ1c2c09Ga3E4cUZURg?oc=5
54,El prontuario del cuarto detenido por fatal encerrona en San Bernardo: Pertenecía a programa de prevención social - Sabes.cl,El prontuario del cuarto detenido por fatal encerrona en San Bernardo: Pertenecía a programa de prevención social Sabes.cl,2026-06-24,San Bernardo,Encerrona,Sabes.cl,https://news.google.com/rss/articles/CBMi2AFBVV95cUxONU1pV0RBWDkwSDRpMFpmZVVrV19oT3pmWXAtOUx5UnhMaVJIQkR5OVFNX210VDAtRFNTQzg3emVCUVFMSlVLYjFXSTFKaEVQUE9CR2tIYk5qZVBaN2hSOTlIaTQ5elczQnF2T0ZsU2t3ajJVS2ZvUE5WMl82anVzOTE1VndwSGxSZmlmdGh2WU9zT3NQQ0tzTHEtX0xMME5FVGt6ZG1fWndWV0ZuUFQyYXpFYkhjQ0VfRmlSSkhSemR2eTFZUG54dmdHc1MtUlUtb1NsX3BxX1g?oc=5
55,Allanamientos en San Bernardo dejan dos detenidos por fatal encerrona a niño de 12 años - Radio Agricultura,Allanamientos en San Bernardo dejan dos detenidos por fatal encerrona a niño de 12 años Radio Agricultura,2026-06-23,San Bernardo,Encerrona,Radio Agricultura,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNTHlXS3RaT05QR3ZmUzR6REpEOURLWi1QdDhMb25IaDRHM185cUVIcVR6NTNkVHdkN1J6M05EMFpIbEpvNEFTOXdOSWtEbGkyQl9PYnRSRW52YVJudWNKNGpKR3lWTkF6c3lwUTBSeWxqUDR5a3Ytblo4ZXpNUGlTUFYxRzNndWVNOHRoLUNzMHZ0dGRwOUtMNG9Xb1hLaEhYcUFJa3pBRE9sLXhGaHduLTBhWWc3UjNaaElsVGNBc0d6aW9Db2NRcnR5ZHJuMkZIZjd3WkFFMVhFTmZJQnhvTQ?oc=5
56,Aumentan a tres los detenidos por asesinato de niño de 12 años durante encerrona en San Bernardo - Radio Agricultura,Aumentan a tres los detenidos por asesinato de niño de 12 años durante encerrona en San Bernardo Radio Agricultura,2026-06-23,San Bernardo,Encerrona,Radio Agricultura,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNVnRyZThYbUNNSUVZeVNZbURfSTJCcDBJZmk2dmd3NkZhU1VXWlRtWUlCQzZBUWVPUzFTZWN6VnhsdF9YQjMwcDdTUVNQUC1TNm9wYW85SFFyLWppSnF2LWJYZm1VNDdYSlRRbEQ5MnZ3QzN6clZVZTRobElaRDhhMXlZNjZZbU12N3IxbENCUm5mczhvLXNUbW9xTklHYVpNcDMtN2xocHk5cW5jRTVDQ1FQZFlBcTJFZzF4eWt5aFJkZF9sOTNtQVBMdFkxTGJtcmtGbkpGQmhQY1RsVm1tMGxGcWt1aGZEUjlPQg?oc=5
57,Carabineros confirma detención de sexto involucrado en encerrona donde murió niño de 12 años en San Bernardo - MSN,Carabineros confirma detención de sexto involucrado en encerrona donde murió niño de 12 años en San Bernardo MSN,2026-06-26,San Bernardo,Encerrona,MSN,https://news.google.com/rss/articles/CBMiowNBVV95cUxPNC1RU0szUUZfYzJvZDI5dFlnTVU1V0lid0VlSVlIU2FNdk1pSUoycHNCOGRDaThkak5UNmZKejgzX2Z3RnNuMW5CR0p2dHZNTUozVXdjX05QdnZsVEVPMVNybVA1cEFxVEVtQVhmZUctcW43d0Y2UDZHWV96aWszcjdVMndJRk4xYVVYMC1ycTJwZ2g5UXBSbVZtWlB0aXQ3Z2pqZ1phc3U0Vjh2bHZ1aDREWkwzWXdwX1RLTldEMEhTWWR5N1ZueS1GMXc3N01oZ29Qd0tKY0JyNHdxSUFQbVZHS2VJOUUtMmh2aDVVb2NNTkVGNlB1SWxfWW1aZkZEM0tQc0ZBYk52dkE2eGRVVkJZaTVKZEFUS2wwQUg1ZHlFeWdsLU1FUC1JRFMyaTh5VnhBME1ybEpxNUN4RW05ZktKOFZ5SVdYbGxyMENzandCZGRqTVI0TklfUkQzbnVjS1dEdmVLc3JDU3lLS05DTlQ2RWR5WHY4Wkk4R1Frak4ydHh0UjVrdUJKNlBkZ2xjWlV2LURLWnFfcHNxYUhqTmxjSQ?oc=5
58,Carabineros confirma seis detenidos por encerrona que terminó con la muerte de un niño en San Bernardo - Panorama Noticioso,Carabineros confirma seis detenidos por encerrona que terminó con la muerte de un niño en San Bernardo Panorama Noticioso,2026-06-25,San Bernardo,Encerrona,Panorama Noticioso,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQUWhnQW1aY2FuNFQxRDVZYUoyZW5tWFQ4dTB5aDRYUmR3RDBQVzZabEZVYnBEYmRGbUpUTTM0OFlZUzlJWGZiUkpLREpMYTIyaFNqeUhjd09xVEVaM21lY0ZzeXhoZXRCMjduMzR5OXNNMUtuVVJ2NlRrUHI0ZjVLSHkzZUk3bnU3czBGc2xqZDhmUkhGdk1IbEkxcTR4WDBhN2xoQUtxcFFXZlo4S2lhZWNEbFdmaGFjTnZzZHZaM0FMQ3ZaMFE2alFBLUlFQkdqa0E?oc=5
59,Hay tres detenidos tras fatal encerrona de San Bernardo - analizamaule.cl,Hay tres detenidos tras fatal encerrona de San Bernardo analizamaule.cl,2026-06-24,San Bernardo,Encerrona,analizamaule.cl,https://news.google.com/rss/articles/CBMihwFBVV95cUxOMVdOaU5DcV9nX3lvSFJydmlicmVGSGw5Ymo5RDd3NldxRlJldTRkRmpBWThzYUt5RzlxZzRhVmw2R3ZNSDZKSU1lelFpSWVaX0RjTjdtSDZ6X05XMWRHZ3lVNVB3WHBjRWZIeUJLN2tQd1M1OFNOMGNpVTZsaldocy0yc2JHUVU?oc=5
60,Operativo de Carabineros deja dos detenidos por la encerrona que causó la muerte de un niño de 12 años - Epicentro Chile,Operativo de Carabineros deja dos detenidos por la encerrona que causó la muerte de un niño de 12 años Epicentro Chile,2026-06-23,Sin identificar,Encerrona,Epicentro Chile,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQTDZlem9oRmVXRndnTDhsNWhyZXdxM3JmdllUYl9yWC1aWUNHSFFkMXVoT1FxeFVZdVZGMkxPYmxDbFpIUkd5WjRQYjJVUkN0bWN4NE02aHduVm84ZmRiMmZPUzc0QUpub3cyZVFoU1gxTFZlLUFtSmNKVTBWQlhxWjNZRzZGekE1empYaU9qU3RaOGRRanhwWDVRdEd6Zy1vcG45WVQ5VUJyOVRhaGE2UmpDY0JDY1B3Q01hTnlMR05xSzFFN2Rkb2RpMWVpTUVKUC0wOXFHN2Y4TnhRcVE?oc=5
