id,title,summary,publication_date,district,crime_type,source,url
24,"Quién era Alejandro, el nene de 12 años asesinado en Chile tras una encerrona: familia mendocina y fanático de Messi - Los Andes","Quién era Alejandro, el nene de 12 años asesinado en Chile tras una encerrona: familia mendocina y fanático de Messi Los Andes",2026-06-24,Sin identificar,Encerrona,Los Andes,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPeHZVMDM2NWgxYnFGaUJFU2swSDNOMlEzMWd6M0VrRFhOYzhLaDBEdmk5dXVHaGNPRDFVS1dnNlc5WTJrTDc1UjhTeGIxeU16NEtDNllJUTJhdHVva1IxV3g4eXNndnFHek1ybWZkbDBOVUVETmpFUXhjRkkxeGd1STBid2NUY09GSDNtRl9acjJLMEpjdEJjemVJNy1aWjVqV0N6aWhyWmZhdC1ocEQwakZKUk5hOVRaYWhBY3FPUDF4dWY4UlA2TURvS0xBeXhnbUdYS21Sb0pDVmM?oc=5
25,Conmoción en Chile por muerte de niño de 12 años en un brutal asalto - Infobae,Conmoción en Chile por muerte de niño de 12 años en un brutal asalto Infobae,2026-06-24,Sin identificar,Encerrona,Infobae,https://news.google.com/rss/articles/CBMixgFBVV95cUxOTlBwVnRRQWs3QXVsTy1iWV9sSUtpdGpFRnEteUYya0pTdXBJcXZSY09KZ3ZuemM4XzBKSG9ob0F6SlR0YTJyQVd6X2o1bzRJbGpXRjdxd2pva3NIOHRFdW40SGd5NWh5czR4dzBxc0x5ZTNLSDVUaXhYeWQ2Vm14WnRHSDh4U3FvS05yUDNVVTVwX1V6aDBPWXVUN3VOekZVUFdUMFl1TllHUWtLcHRWLWxkNHpSUEZwUXkxU3FNS3ZWYXZ3Z0HSAeABQVVfeXFMUHhuS3lONW5pVXk4QnFCNHlOZk1iRWhJcmU4eVNPc1dMRE5nZUdlOFhDZlNhSi1EOEVEWmtNTzRaSE9zTjIyZDdaNWtWZWRWVWFXRkRzSGZ5MW5rMGtkQmxOZ2otbTNteGdBdXItWHFFLTZ3aXlDUXp4OTMwN0tiOU9Wa1JjaXJUaGxzd3JiUTJHLTR1QUowNTFndlhrclpVODczbnpPZ0FIbWhQVXJwYnF5TW9tMGE2cmpJQ0lfV180cGFyb2hNd21sR0NUeW9TaDFMNTZBcmhZZ1pGQTRYVGo?oc=5
26,Tragedia en Santiago de Chile: niño de 12 años muere tras quedar atrapado en vehículo robado durante encerrona en San Bernardo - ICNDiario,Tragedia en Santiago de Chile: niño de 12 años muere tras quedar atrapado en vehículo robado durante encerrona en San Bernardo ICNDiario,2026-06-23,Santiago,Encerrona,ICNDiario,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOTXNSc1ZJT0diR0JaOVVxYkcyV0VxeE9qNkVGbWY2cEZYNWtwbDhfa3FBNHZqN3Brd0NENThld3FBSkVrVHJLcU90TnkyTmpJSjAwcnZRbzdJckVNWWJwRjI0Njg2SmVaRzZ1T296YzU0bDUxemdIWVdBVDF1aDUweGNjY0FHSm9PU2p0Y1g4VnJSNWZqNXQ1NWhlakM0OFg2Z0ZSRE9fS1A0TTdnMkRyRldRY24wT2ktYm1RUW5DUHZHYTNDeFZ4Zg?oc=5
27,Horror en Chile: les hicieron una encerrona cuando volvían de Mendoza y mataron a un niño que no logró escapar - Los Andes,Horror en Chile: les hicieron una encerrona cuando volvían de Mendoza y mataron a un niño que no logró escapar Los Andes,2026-06-23,Sin identificar,Encerrona,Los Andes,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNN2lHcEFMRmVjVFdsZW0wUGU0UkUwU2dWam9TeE5Lck1fVWVrS2E4cVZ4UDhoVzBMRkQ4S1F0ZVBiVDBhMnhQeWJUc3Nrb0NtdGJsb3BRWkduaFRuRmd6czJBbzlTWXd4dmlqM3d4SThScVRaeEdpcGhFc1Jhc0lLbTJWaWk5RzZKbENtbF80dFBRR2U4R2lQRllEQll3M1ZXTzE2LV83VkF2RElaX1IxN0tpLXFRZjBJTzcyd2FGaWZnNmZuaHNuNjJTTTlKTkFVaHFra0J4bkxGYVhI?oc=5
28,El niño de 12 años que murió en una ‘encerrona’ en San Bernardo venía de celebrar el Día del Padre en Argentina - EL PAÍS,El niño de 12 años que murió en una ‘encerrona’ en San Bernardo venía de celebrar el Día del Padre en Argentina EL PAÍS,2026-06-23,San Bernardo,Encerrona,EL PAÍS,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNbXNsUlBaN2IyZDgwcE56bnhwUzNQWTdWOEQyTTlTZU4wb3ZmWXZnT0lieUFSSGc4M3ROZGh5c0EyV0w2WEx4dlJES1g0cHl6U0kyREdiTjZzc2lwYnFGbGVubmpud2RTdlA1WFk4Um1vM1k2eFI4Q1FvYkQzekZvNFRrbWM3SjRjZzdBUUxaRHZDN0pkZ053b3dRaXBUYk1uZjY4c3p2UTZTREhTdXA1WWdsc05HdEhUYVV3SGNQcVhTaHFYaXJkNzMwdXFlbElNS3hoeE9EY2hGRmdCc3BKR3NGOGTSAfgBQVVfeXFMTW95cUppMGFaM0ZJR05VZjlnem9sOTRsWjBIQkpJTG14bi1mQWp3QWtSbEJjMFN6XzdwTzBOdktlLVdSWGFIeEtDWEFzTGtTdktOTDREclViMkRRX2xpczJHQnozQmFlMjROTFZmQ2tuZllJOGNjcWJ0RGJEa0ZldXlkaGl6ZUhNVno1ZVIyc1NEUWRVc0p1UDJZY0FzMjJPRGJBbzZLZ3lRcDFyR09jV1AxMzRQRGoxN2FfeGlqRTNEUkgyeVJ1Y1NlSFV4OEVRS2wtSkR2WC1IV3FEMERBUVRyeVFVRFNlc19QUEdrLVdxUkZlS3RrWWk?oc=5
29,Niño de 12 años muere tras encerrona en San Bernardo: habría sido arrastrado durante huida de delincuentes - Canal 13,Niño de 12 años muere tras encerrona en San Bernardo: habría sido arrastrado durante huida de delincuentes Canal 13,2026-06-23,San Bernardo,Encerrona,Canal 13,https://news.google.com/rss/articles/CBMirAFBVV95cUxOV2QteUZvMnQtTUJRS20zX0tnMXVvd05POVVCb1h0NWtqUDVRY0k5ZGhQVWdZT20xbWF5LUZkTGFOLVoyelJPMmJTdEl3aXhaYjhGQW0zNHRfRkx4TVFkemlXNDZjYlJiTHhXRVNXYWk1RFBjZFJTSzNNVTNjN1UzVjhxbnBjRFZBWnFhVkJPMDZWb0ZEbWhQV2tvRmNvanhrWS14dUVmQXc5QjZs?oc=5
30,"Habría sido arrastrado por vehículo, por 3 km niño muerto en encerrona - El Informador Chile","Habría sido arrastrado por vehículo, por 3 km niño muerto en encerrona El Informador Chile",2026-06-23,Sin identificar,Encerrona,El Informador Chile,https://news.google.com/rss/articles/CBMitAFBVV95cUxQb0dxRjdjNHVDWFljc1ZEOXFiYjdRd01MVDdfdjVfekhodXFlTUpHNTR3bFNteWhiVDNiNGNZX2d2TE5OMXNFY2NyTGhXTXlNeHlpeVFfWGlZVVJkNUJiNDhpangyYUFMaWYxY2E5eTY4cGtuQ2Y2aF9JaGFKVGtqLWZEUm12T0x0Z2NwRHdsdzgxbUMxVUR6N0FNTjBmdmN6UUhwZmN0SERxU1kzdVl0dFNKSFY?oc=5
31,Detienen a dos sujetos tras violenta encerrona en Maipú: Vehículos fueron recuperados gracias a GPS - Meganoticias,Detienen a dos sujetos tras violenta encerrona en Maipú: Vehículos fueron recuperados gracias a GPS Meganoticias,2026-06-21,Maipú,Encerrona,Meganoticias,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQWE9EMFNZMUVFVTZpU3VMekU3RDFrYkh3UTFSekR1X1pidl8yUXN5Rl9FdnBNdUk4SEVOZXVTUUlvczRGSzlJcnU3d2pQU3FrZzNQVXZObjVWLUxJSDJQWDc4QzVfOHVHMUNScm1KVTFYc2RzSU1CX19iYmNrMFFBUVppUldXMFBZNC1KUDI1bkpndFUxbkJPZTB2YXZBWHBJdGkyTVBlNDZPVGIzV29IOEpfbUg4ZzJNQTlqNHBDT3poUGhzcVN4TW04dkQ5RXF3bk1id0JWSHZfd9IB3wFBVV95cUxNYURZQ3ZiMy13aDBzZHlKR0ROeTVIakl5bXZsREZqOXpJLVozYm8yZ180a0VRYS1DTzR0SmdYSUZYamt2UjNFcGdzSWRnbEJocHdrTDBiSDRtTU1wczdRZU5NVFc1SjVfUTdSMi0xX2p5Q3dEY1phV3hTeTV0OTFKcWo3aE9PTzhLd1lpQ01Cd3JlNlZGX3hLSUNzcUkzSmR6SnNyV2lzem8wMXJveks0eWlSVTJTSTk4VGRGS0kwU2JJemEzdjJjLVFvSlhMdE0yZG5TZjhGRVl1LURfTDJB?oc=5
32,Pudahuel: presunta encerrona en Vespucio Norte termina con choques y gran congestión vehicular - Diario Tropezon,Pudahuel: presunta encerrona en Vespucio Norte termina con choques y gran congestión vehicular Diario Tropezon,2026-06-02,Pudahuel,Encerrona,Diario Tropezon,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNempmUmc0dXhVNWQwTWdjU0F0SDJZSE1qajEwTV9zWHFlbXM0cTVzZ1NJakREeHBqcFhoeHRCVjdIaFExUXljRTJNbGR3ZmRNQ2w0ZVFtb0pvR3N4YnY0SkNqclZLMEw1bnVWcmltOXBKSDJHRmNSbGRrbWNESDBMSlBEV0hCajBnM2h4WVNNZEtGbXhVRVVsT2JQVjh2RmU3bUZoQWp4QWc5LUprR21zVDZBWGVMQlRWbk43QXBuTzlsN21oT1hZY2NIUlJ6bV84ek5MUnNobzViQQ?oc=5
33,"Volvían de Chile, sufrieron una encerrona y un niño de 12 años murió arrastrado por delincuentes - NoticiasNQN","Volvían de Chile, sufrieron una encerrona y un niño de 12 años murió arrastrado por delincuentes NoticiasNQN",2026-06-24,Sin identificar,Encerrona,NoticiasNQN,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOVGZzQlZmTlp0NzVuSVF4cHhlbkNxNGRvTXFxSUxzZkpDek1OWk1WT3RrNU9jSExuNk9jZW5iWFVyTndibnRiVWZOZG9ldHNySVU3dXVCRHliSGRJRmxzdmN2RkZGSWJRYWE1bVFGWm9nRWJhSnJ4dVNzNzA4YUtvRnBrcjk1ZnVYTW5hQzhSWmNfUkRXQnd0cnhTcjBFWFN0TG1qQXJ0aGRES0didjdPYzhnRjBWV0RUWDlMN0ZCRElrZjdtcEluaVo3WldacnNWNHlsMFoxRW5oZzZtdHBzSWh0REs2OTJW0gHuAUFVX3lxTE9rX3hCb2JpWFJkNXN4dzNhU1ZNNVRFVGUwN1JKOEJSS01uenUzdGFxS1dKMi00emUycHRmR25QYk4zbnlsZkhYN1NYVkFjUFJrMm1SOVplNTRzNXl5QXBVNEV5UWZaMmlyNUFvZi1TUnV5R3JjeGU5MGZkU0Q2cHhCSWhiWkZsclYwbTFSZkxTTTBjQU9BWUhCVHoxRnBpVWs1enB3U1FORndOcmF4bU5IdlFPUWZLSDQ5VnRiR2UyaHU4RTFVQWFMeElISU1UZXFVYWFOOGRpaWVxdkZLQ3hqWHpWZTE4MXpMV2ZGUlE?oc=5
